Date,Type,Block,Street,Story,Area,Model  ,LeaseBegin,LeaseRemaining(in months),ResalePrice
2022-03,3 ROOM,1,EDGEDALE PLAINS,04 TO 06,67,Model A,2017,1130,380000
2022-05,3 ROOM,1,EDGEDALE PLAINS,13 TO 15,67,Model A,2017,1128,400000
2022-06,4 ROOM,1,EDGEDALE PLAINS,13 TO 15,93,Model A,2017,1128,540000
2022-07,4 ROOM,1,EDGEDALE PLAINS,13 TO 15,93,Model A,2017,1126,545000
2022-12,4 ROOM,1,EDGEDALE PLAINS,01 TO 03,93,Model A,2017,1122,470000
2022-01,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,113,Improved,2017,1133,610000
2022-02,4 ROOM,1,EDGEDALE PLAINS,07 TO 09,93,Model A,2017,1131,490000
2022-04,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,113,Improved,2017,1130,590000
2022-08,3 ROOM,1,EDGEDALE PLAINS,07 TO 09,68,Model A,2017,1126,418000
2022-08,4 ROOM,1,EDGEDALE PLAINS,07 TO 09,93,Model A,2017,1126,510000
2022-09,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1125,540000
2022-12,4 ROOM,1,EDGEDALE PLAINS,04 TO 06,93,Model A,2017,1122,500000
2022-12,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1122,539000
2022-01,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1133,488800
2022-02,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,112,Improved,2017,1131,625000
2022-03,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,112,Improved,2017,1131,625000
2022-05,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1129,548000
2022-07,4 ROOM,1,EDGEDALE PLAINS,16 TO 18,93,Model A,2017,1127,508000
2022-09,4 ROOM,1,EDGEDALE PLAINS,01 TO 03,93,Model A,2017,1124,477000
2022-10,4 ROOM,1,EDGEDALE PLAINS,07 TO 09,93,Model A,2017,1124,505000
2022-12,4 ROOM,1,EDGEDALE PLAINS,01 TO 03,93,Model A,2017,1122,510000
2022-01,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1133,468500
2022-05,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,113,Improved,2017,1128,628000
2022-05,3 ROOM,1,EDGEDALE PLAINS,10 TO 12,68,Model A,2017,1129,430000
2022-05,4 ROOM,1,EDGEDALE PLAINS,13 TO 15,93,Model A,2017,1128,505185
2022-05,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1128,511000
2022-06,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,112,Improved,2017,1128,610000
2022-07,4 ROOM,1,EDGEDALE PLAINS,13 TO 15,93,Model A,2017,1126,530000
2022-09,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,113,Improved,2017,1125,612000
2022-10,4 ROOM,1,EDGEDALE PLAINS,01 TO 03,93,Model A,2017,1124,480000
2022-02,3 ROOM,1,EDGEDALE PLAINS,07 TO 09,68,Model A,2017,1132,433000
2022-05,5 ROOM,1,EDGEDALE PLAINS,01 TO 03,113,Improved,2017,1128,568000
2022-11,3 ROOM,1,EDGEDALE PLAINS,16 TO 18,68,Model A,2017,1123,450000
2022-12,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,93,Model A,2017,1123,570000
2022-03,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,110,Improved,2003,961,482888
2022-07,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,110,Improved,2003,957,515000
2022-07,4 ROOM,1,EDGEDALE PLAINS,10 TO 12,90,Model A,2003,957,465000
2022-08,5 ROOM,1,EDGEDALE PLAINS,16 TO 18,110,Improved,2003,956,540000
2022-04,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,110,Improved,2003,959,518000
2022-05,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,110,Improved,2003,958,520000
2022-05,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,110,Improved,2003,957,510000
2022-09,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,110,Improved,2003,954,550000
2022-12,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,110,Improved,2003,952,555888
2022-01,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,110,Improved,2003,962,492500
2022-02,4 ROOM,1,EDGEDALE PLAINS,04 TO 06,85,Model A,2003,962,405000
2022-04,5 ROOM,1,EDGEDALE PLAINS,07 TO 09,110,Improved,2003,958,515000
2022-05,4 ROOM,1,EDGEDALE PLAINS,04 TO 06,85,Model A,2003,958,420000
2022-02,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,110,Improved,2003,961,535000
2022-03,5 ROOM,1,EDGEDALE PLAINS,16 TO 18,110,Improved,2003,961,530000
2022-05,5 ROOM,1,EDGEDALE PLAINS,04 TO 06,110,Improved,2003,959,510000
2022-07,5 ROOM,1,EDGEDALE PLAINS,10 TO 12,110,Improved,2003,957,538500
2022-07,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,110,Improved,2003,956,552000
2022-09,5 ROOM,1,EDGEDALE PLAINS,13 TO 15,110,Improved,2003,955,573000
2022-01,5 ROOM,10,PUNGGOL FIELD WALK,16 TO 18,110,Improved,2003,966,545000
2022-02,5 ROOM,10,PUNGGOL FIELD WALK,13 TO 15,110,Improved,2003,966,511000
2022-02,5 ROOM,10,PUNGGOL FIELD WALK,16 TO 18,110,Improved,2003,966,530000
2022-02,4 ROOM,10,PUNGGOL FIELD WALK,07 TO 09,90,Model A,2003,966,462500
2022-05,5 ROOM,10,PUNGGOL FIELD WALK,04 TO 06,110,Improved,2003,962,505888
2022-06,5 ROOM,10,PUNGGOL FIELD WALK,13 TO 15,110,Improved,2003,962,550000
2022-09,5 ROOM,10,PUNGGOL FIELD WALK,10 TO 12,110,Improved,2003,959,570000
2022-07,5 ROOM,10,PUNGGOL FIELD WALK,13 TO 15,110,Improved,2003,960,550000
